12,240,1.2,29,0,5,5
12,240,1.2,29,1,5,5
14,240,1.2,29,0,5,5
14,240,1.2,29,1,6,5
16,240,1.2,29,0,7,5
16,240,1.2,29,1,8,6
18,240,1.2,29,0,8,8
18,240,1.2,29,1,14,11
20,240,1.2,29,0,4,3
20,240,1.2,29,1,15,13
22,240,1.2,29,0,0,0
22,240,1.2,29,1,12,12
24,240,1.2,29,0,11,7
24,240,1.2,29,1,24,19
26,240,1.2,29,0,6,5
26,240,1.2,29,1,15,13
0,240,1.5,29,0,0,0
0,240,1.5,29,1,2,2
2,240,1.5,29,0,0,0
2,240,1.5,29,1,6,6
4,240,1.5,29,0,0,0
4,240,1.5,29,1,1,1
6,240,1.5,29,0,0,0
6,240,1.5,29,1,0,0
8,240,1.5,29,0,0,0
8,240,1.5,29,1,0,0
10,240,1.5,29,0,1,1
10,240,1.5,29,1,1,1
12,240,1.5,29,0,2,2
12,240,1.5,29,1,2,2
14,240,1.5,29,0,2,2
14,240,1.5,29,1,2,2
16,240,1.5,29,0,1,1
16,240,1.5,29,1,2,2
18,240,1.5,29,0,1,1
18,240,1.5,29,1,7,7
20,240,1.5,29,0,2,2
20,240,1.5,29,1,11,11
22,240,1.5,29,0,1,1
22,240,1.5,29,1,18,15
24,240,1.5,29,0,5,4
24,240,1.5,29,1,11,9
26,240,1.5,29,0,3,2
26,240,1.5,29,1,19,16
0,240,1.8,29,0,0,0
0,240,1.8,29,1,NA,NA
2,240,1.8,29,0,0,0
2,240,1.8,29,1,0,0
4,240,1.8,29,0,0,0
4,240,1.8,29,1,0,0
6,240,1.8,29,0,0,0
6,240,1.8,29,1,0,0
8,240,1.8,29,0,0,0
8,240,1.8,29,1,0,0
10,240,1.8,29,0,0,0
10,240,1.8,29,1,0,0
12,240,1.8,29,0,0,0
12,240,1.8,29,1,0,0
14,240,1.8,29,0,0,0
14,240,1.8,29,1,0,0
16,240,1.8,29,0,1,1
16,240,1.8,29,1,1,1
18,240,1.8,29,0,0,0
18,240,1.8,29,1,1,1
20,240,1.8,29,0,1,1
20,240,1.8,29,1,1,1
22,240,1.8,29,0,1,1
22,240,1.8,29,1,18,15
24,240,1.8,29,0,3,3
24,240,1.8,29,1,8,8
