"ID_Predators_individuals" "ID_species" "Lifestage" "Sex" "Length" "stomach_part" "number_of_prey" "total_weight_g" "latin_name" "ID_sampling" "station_name" "dates"
36 6 1 10 14 "Vorderdarm oder Magen" 4 1 "Diastylis rathkei" 10 "Suederfahrt" "1971-06-23"
36 6 1 10 14 "Mitteldarm" 70 6 "Diastylis rathkei" 10 "Suederfahrt" "1971-06-23"
36 6 1 10 14 "Mitteldarm" NA 10 "Macerated" 10 "Suederfahrt" "1971-06-23"
37 6 2 10 14 "Vorderdarm oder Magen" 1 3 "Gobiidae spp." 10 "Suederfahrt" "1971-06-23"
37 6 2 10 14 "Mitteldarm" 1 2 "Crangon crangon" 10 "Suederfahrt" "1971-06-23"
37 6 2 10 14 "Mitteldarm" NA 2 "Macerated" 10 "Suederfahrt" "1971-06-23"
38 6 2 10 19 "Mitteldarm" NA 2 "Macerated" 10 "Suederfahrt" "1971-06-23"
38 6 2 10 19 "Mitteldarm" 20 22 "Diastylis rathkei" 10 "Suederfahrt" "1971-06-23"
38 6 2 10 19 "Mitteldarm" 8 1 "Diastylis rathkei" 10 "Suederfahrt" "1971-06-23"
39 6 1 10 14 "Vorderdarm oder Magen" 1 4 "Harmothoe spp." 11 "Millionenviertel" "1971-07-08"
40 6 1 20 17 "Vorderdarm oder Magen" 17 3 "Diastylis rathkei" 11 "Millionenviertel" "1971-07-08"
40 6 1 20 17 "Mitteldarm" 30 8 "Diastylis rathkei" 11 "Millionenviertel" "1971-07-08"
40 6 1 20 17 "Vorderdarm oder Magen" 1 2 "Ophiura albida" 11 "Millionenviertel" "1971-07-08"
40 6 1 20 17 "Mitteldarm" NA 6 "Macerated" 11 "Millionenviertel" "1971-07-08"
40 6 1 20 17 "Mitteldarm" 6 9 "Diastylis rathkei" 11 "Millionenviertel" "1971-07-08"
40 6 1 20 17 "Vorderdarm oder Magen" 4 4 "Diastylis rathkei" 11 "Millionenviertel" "1971-07-08"
41 6 4 20 26 "Vorderdarm oder Magen" 4 20 "Ophiura albida" 11 "Millionenviertel" "1971-07-08"
41 6 4 20 26 "Mitteldarm" 37 52 "Diastylis rathkei" 11 "Millionenviertel" "1971-07-08"
41 6 4 20 26 "Mitteldarm" NA 20 "Macerated" 11 "Millionenviertel" "1971-07-08"
41 6 4 20 26 "Mitteldarm" NA 310 "Ophiura albida" 11 "Millionenviertel" "1971-07-08"
42 6 2 10 18 "Mitteldarm" 26 22 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
42 6 2 10 18 "Mitteldarm" 1 2 "Crangon crangon" 12 "Millionenviertel" "1971-08-18"
42 6 2 10 18 "Mitteldarm" 1 1 "Gastosaccus spinifer" 12 "Millionenviertel" "1971-08-18"
42 6 2 10 18 "Mitteldarm" NA 8 "Macerated" 12 "Millionenviertel" "1971-08-18"
43 6 2 10 18 "Mitteldarm" NA 21 "Nephthys spp." 12 "Millionenviertel" "1971-08-18"
43 6 2 10 18 "Mitteldarm" NA 15 "Macerated" 12 "Millionenviertel" "1971-08-18"
43 6 2 10 18 "Vorderdarm oder Magen" 1 29 "Nephthys spp." 12 "Millionenviertel" "1971-08-18"
44 6 2 10 18 "Mitteldarm" 1 1 "Euchone papillosa" 12 "Millionenviertel" "1971-08-18"
44 6 2 10 18 "Vorderdarm oder Magen" 1 1 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
44 6 2 10 18 "Mitteldarm" 36 28 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
44 6 2 10 18 "Mitteldarm" NA 40 "Ophiura albida" 12 "Millionenviertel" "1971-08-18"
44 6 2 10 18 "Vorderdarm oder Magen" 5 22 "Ophiura albida" 12 "Millionenviertel" "1971-08-18"
44 6 2 10 18 "Mitteldarm" 1 2 "Unidentified Polychaeta remains" 12 "Millionenviertel" "1971-08-18"
45 6 2 10 17 "Mitteldarm" NA 10 "Macerated" 12 "Millionenviertel" "1971-08-18"
46 6 1 10 15 "Mitteldarm" 6 5 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
46 6 1 10 15 "Mitteldarm" 1 6 "Pisces spp." 12 "Millionenviertel" "1971-08-18"
46 6 1 10 15 "Mitteldarm" NA 2 "Macerated" 12 "Millionenviertel" "1971-08-18"
46 6 1 10 15 "Vorderdarm oder Magen" 1 12 "Pomatoschistus minutus" 12 "Millionenviertel" "1971-08-18"
46 6 1 10 15 "Vorderdarm oder Magen" 1 1 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
47 6 2 10 18 "Vorderdarm oder Magen" 1 12 "Limanda limanda" 12 "Millionenviertel" "1971-08-18"
47 6 2 10 18 "Mitteldarm" 60 33 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
47 6 2 10 18 "Mitteldarm" NA 7 "Macerated" 12 "Millionenviertel" "1971-08-18"
48 6 1 10 14 "Mitteldarm" NA 2 "Macerated" 12 "Millionenviertel" "1971-08-18"
48 6 1 10 14 "Vorderdarm oder Magen" 1 1 "Crangon crangon" 12 "Millionenviertel" "1971-08-18"
